"Chart data for Banking Deserts, Branch Closings, and Soft Information",,,,
http://libertystreeteconomics.newyorkfed.org/2016/03/banking-deserts-branch-closings-and-soft-information.html,,,,
,,,,
This file contains the latitude and longitude of census tracts in 2014 within “banking deserts” as that term is defined in the post.,,,,
Year,geoid2000,tract_latitude,tract_longitude,banking_desert
2014,6043000400,37.663396,-119.625431,1
2014,6045011200,39.106027,-123.493791,1
2014,6047000100,37.519818,-120.504976,1
2014,6049000200,41.555501,-121.278259,1
2014,6049000400,41.617076,-120.145062,1
2014,6051000100,37.887508,-118.949688,1
2014,6053011400,35.953971,-120.882451,1
2014,6053011500,36.246226,-121.752367,1
2014,6055201800,38.606573,-122.27759,1
2014,6057000900,39.3516,-120.584407,1
2014,6061020200,39.093543,-120.658215,1
2014,6061022001,39.261724,-120.560139,1
2014,6065045604,33.537563,-115.985371,1
2014,6065045605,33.514122,-116.121594,1
2014,6065045800,33.873408,-115.266053,1
2014,6065940100,33.871671,-114.51755,1
2014,6069000800,36.571153,-121.083997,1
2014,6071008901,35.58377,-117.452886,1
2014,6071010300,35.128682,-115.910833,1
2014,6071010402,34.419654,-115.990552,1
2014,6071010405,34.272385,-116.505813,1
2014,6071010409,34.190533,-115.796071,1
2014,6071010500,34.518453,-114.606034,1
2014,6071011600,34.936205,-117.349004,1
2014,6073020902,32.917973,-116.573293,1
2014,6073020903,33.248195,-116.703083,1
2014,6073021100,32.678387,-116.403348,1
2014,6079010000,35.718305,-120.87379,1
2014,6079010300,35.611095,-120.441492,1
2014,6079012702,35.296923,-120.012503,1
2014,6083001800,34.871138,-119.802548,1
2014,6085512700,37.261163,-121.536153,1
2014,6089012400,40.580343,-122.632653,1
2014,6089012500,41.05365,-122.338,1
2014,6089012601,40.858788,-121.945389,1
2014,6089012602,40.508826,-121.840012,1
2014,6091010000,39.582063,-120.534038,1
2014,6093000100,41.864321,-121.564433,1
2014,6093000200,41.872959,-121.946989,1
2014,6093000300,41.795695,-122.366116,1
2014,6093000400,41.933461,-122.660556,1
2014,6093001200,41.376667,-121.863867,1
2014,6097154301,38.59893,-123.212395,1
2014,6101050900,38.985805,-121.767807,1
2014,6103000100,40.274936,-121.743429,1
2014,6103000300,39.996046,-122.622162,1
2014,6105000100,40.892901,-122.768732,1
2014,6105000200,40.8188,-123.304811,1
2014,6105000400,40.266732,-123.32601,1
2014,6107002700,36.043007,-118.64176,1
2014,6107004500,35.916354,-119.009034,1
2014,6109003100,38.145628,-120.026497,1
2014,6109005201,37.786933,-120.478563,1
2014,6111000100,34.598362,-119.154104,1
2014,6113011400,38.812517,-121.881922,1
2014,6113011500,38.743203,-122.042208,1
2014,6115040901,39.174689,-121.403432,1
2014,6115041000,39.264425,-121.442348,1
2014,8001008402,39.881824,-104.094451,1
2014,8007940400,37.088659,-107.301979,1
2014,8009984600,37.291045,-102.464901,1
2014,8013013602,40.190085,-105.481516,1
2014,8021974600,37.217829,-106.341117,1
2014,8023982600,37.395796,-105.459909,1
2014,8033000100,37.761037,-108.586457,1
2014,8035014300,39.295437,-105.141388,1
2014,8037000600,39.486675,-106.367782,1
2014,8039991100,39.171769,-103.969434,1
2014,8043979000,38.452455,-105.671989,1
2014,8045951600,39.720751,-107.302129,1
2014,8045952100,39.552894,-108.228771,1
2014,8051963600,38.636042,-106.757834,1
2014,8051963900,38.526122,-107.300749,1
2014,8053973100,37.823347,-107.268004,1
2014,8055980700,37.512264,-104.950118,1
2014,8055980800,37.761425,-105.106576,1
2014,8067941000,37.061949,-108.324565,1
2014,8067970702,37.429094,-107.773678,1
2014,8069002400,40.800112,-105.633091,1
2014,8071000300,37.144483,-104.793887,1
2014,8071000600,37.24535,-104.333919,1
2014,8071000700,37.291856,-103.921199,1
2014,8073991800,38.988687,-103.543916,1
2014,8075995900,40.901495,-102.999318,1
2014,8077001900,38.886095,-108.673835,1
2014,8079973600,37.70062,-106.920831,1
2014,8081000100,40.606803,-108.439193,1
2014,8083940200,37.194698,-108.301034,1
2014,8083941000,37.158414,-108.800121,1
2014,8083969200,37.465773,-108.71584,1
2014,8093000100,39.487372,-105.501666,1
2014,8093000200,39.394615,-105.507209,1
2014,8093000400,39.193413,-105.787893,1
2014,8093000500,38.878911,-105.665064,1
2014,8101002804,37.944167,-104.862488,1
2014,8101003200,38.122829,-104.323554,1
2014,8101003400,38.255072,-104.255392,1
2014,8107000100,40.745381,-107.06276,1
2014,8107000800,40.143834,-106.842615,1
2014,8113968200,38.021843,-108.641633,1
2014,8121994100,40.002093,-103.049371,1
2014,8123002501,40.726514,-104.310012,1
2014,12003040201,30.308922,-82.337932,1
2014,12005000300,30.403911,-85.442505,1
2014,12013990200,30.416565,-85.263459,1
2014,12015010100,26.934021,-81.728469,1
2014,12021011102,26.002634,-81.492484,1
2014,12033003800,30.856903,-87.509439,1
2014,12033003900,30.836057,-87.351776,1
2014,12043000100,27.06252,-80.973637,1
2014,12047980200,30.531068,-83.134656,1
2014,12047980300,30.396213,-82.776054,1
2014,12051000500,26.614183,-81.084741,1
2014,12051940100,26.282139,-81.010923,1
2014,12055961000,27.439646,-81.257693,1
